year,month,region,families,funding,low_income_families,pct_served
2011,12,Southeast,3303386,"$381,721,999",6486791,50.92
2012,1,Mid-West,710552,"$80,260,067",1246826,56.99
2012,1,North,1477271,"$192,461,021",2095985,70.48
2012,1,Northeast,6821844,"$801,118,609",8380881,81.4
2012,1,South,1030341,"$115,648,572",1884472,54.68
2012,1,Southeast,3290706,"$372,292,383",6486791,50.73
2012,2,Mid-West,714984,"$81,402,035",1246826,57.34
2012,2,North,1491301,"$194,664,873",2095985,71.15
2012,2,Northeast,6845197,"$806,997,504",8380881,81.68
2012,2,South,1038268,"$116,955,596",1884472,55.1
2012,2,Southeast,3317541,"$376,628,319",6486791,51.14
2012,3,Mid-West,718838,"$82,469,909",1246826,57.65
2012,3,North,1519947,"$199,082,865",2095985,72.52
2012,3,Northeast,6827817,"$809,411,300",8380881,81.47
2012,3,South,1027643,"$116,835,894",1884472,54.53
2012,3,Southeast,3300648,"$376,800,547",6486791,50.88
2012,4,Mid-West,727388,"$85,137,464",1246826,58.34
2012,4,North,1525743,"$203,544,601",2095985,72.79
2012,4,Northeast,6856167,"$827,433,674",8380881,81.81
2012,4,South,1033384,"$120,475,996",1884472,54.84
2012,4,Southeast,3319422,"$387,733,710",6486791,51.17
2012,5,Mid-West,734763,"$86,539,950",1246826,58.93
2012,5,North,1530139,"$205,256,059",2095985,73
2012,5,Northeast,6949641,"$839,606,793",8380881,82.92
2012,5,South,1024386,"$119,907,662",1884472,54.36
2012,5,Southeast,3291107,"$386,353,970",6486791,50.74
2012,6,Mid-West,729349,"$93,007,306",1246826,58.5
2012,6,North,1524413,"$230,432,111",2095985,72.73
2012,6,Northeast,6923036,"$936,815,355",8380881,82.61
2012,6,South,1014145,"$128,299,774",1884472,53.82
2012,6,Southeast,3271716,"$418,513,412",6486791,50.44
2012,7,Mid-West,730193,"$93,927,774",1246826,58.56
2012,7,North,1531465,"$233,239,733",2095985,73.07
2012,7,Northeast,6894689,"$940,328,769",8380881,82.27
2012,7,South,1027690,"$130,748,732",1884472,54.53
2012,7,Southeast,3340086,"$429,458,998",6486791,51.49
2012,8,Mid-West,763020,"$98,675,160",1246826,61.2
2012,8,North,1565555,"$238,893,235",2095985,74.69
2012,8,Northeast,6991060,"$958,729,830",8380881,83.42
2012,8,South,1044024,"$133,863,775",1884472,55.4
2012,8,Southeast,3406680,"$440,467,152",6486791,52.52
2012,9,Mid-West,763021,"$99,102,314",1246826,61.2
2012,9,North,1559209,"$239,499,853",2095985,74.39
2012,9,Northeast,6979882,"$962,447,674",8380881,83.28
2012,9,South,1038632,"$134,043,115",1884472,55.12
2012,9,Southeast,3383846,"$439,939,900",6486791,52.17
2012,10,Mid-West,765623,"$99,796,264",1246826,61.41
2012,10,North,1562338,"$240,955,981",2095985,74.54
2012,10,Northeast,6994618,"$967,848,340",8380881,83.46
2012,10,South,1041919,"$134,856,137",1884472,55.29
2012,10,Southeast,3393756,"$442,728,108",6486791,52.32
2012,11,Mid-West,770691,"$100,272,538",1246826,61.81
2012,11,North,1569215,"$242,015,743",2095985,74.87
2012,11,Northeast,7025750,"$970,396,854",8380881,83.83
2012,11,South,1051626,"$135,508,899",1884472,55.8
2012,11,Southeast,3416725,"$444,180,922",6486791,52.67
2012,12,Mid-West,775260,"$104,794,574",1246826,62.18
2012,12,North,1574868,"$257,423,481",2095985,75.14
2012,12,Northeast,7049046,"$1,040,832,468",8380881,84.11
2012,12,South,1060356,"$142,107,339",1884472,56.27
2012,12,Southeast,3442625,"$467,573,702",6486791,53.07
2013,1,Mid-West,764165,"$101,590,004",1246826,61.29
2013,1,North,1563411,"$251,935,845",2095985,74.59
2013,1,Northeast,7024259,"$1,020,647,691",8380881,83.81
2013,1,South,1054401,"$138,619,939",1884472,55.95
2013,1,Southeast,3429750,"$458,049,947",6486791,52.87
2013,2,Mid-West,741053,"$99,658,507",1246826,59.44
2013,2,North,1532987,"$252,131,185",2095985,73.14
2013,2,Northeast,6890329,"$1,020,984,212",8380881,82.21
2013,2,South,1014741,"$135,120,073",1884472,53.85
2013,2,Southeast,3378425,"$456,253,393",6486791,52.08
2013,3,Mid-West,755597,"$104,016,233",1246826,60.6
2013,3,North,1579365,"$266,144,623",2095985,75.35
2013,3,Northeast,6969903,"$1,079,694,936",8380881,83.16
2013,3,South,1045955,"$141,377,501",1884472,55.5
2013,3,Southeast,3521423,"$485,553,019",6486791,54.29
2013,4,Mid-West,736403,"$101,867,341",1246826,59.06
2013,4,North,1566459,"$265,010,305",2095985,74.74
2013,4,Northeast,6896143,"$1,072,679,875",8380881,82.28
2013,4,South,1014571,"$137,628,036",1884472,53.84
2013,4,Southeast,3433902,"$474,276,693",6486791,52.94
2013,5,Mid-West,752963,"$104,522,447",1246826,60.39
2013,5,North,1577151,"$268,233,325",2095985,75.25
2013,5,Northeast,6919534,"$1,081,291,767",8380881,82.56
2013,5,South,1031642,"$140,739,386",1884472,54.74
2013,5,Southeast,3492026,"$486,163,051",6486791,53.83
2013,6,Mid-West,742879,"$104,124,975",1246826,59.58
2013,6,North,1559179,"$267,821,365",2095985,74.39
2013,6,Northeast,6833740,"$1,079,617,726",8380881,81.54
2013,6,South,1015177,"$139,705,912",1884472,53.87
2013,6,Southeast,3430629,"$482,242,497",6486791,52.89
2013,7,Mid-West,753126,"$105,623,159",1246826,60.4
2013,7,North,1583153,"$272,016,659",2095985,75.53
2013,7,Northeast,6934096,"$1,092,352,266",8380881,82.74
2013,7,South,1027153,"$141,348,814",1884472,54.51
2013,7,Southeast,3476015,"$489,234,277",6486791,53.59
2013,8,Mid-West,745519,"$105,141,191",1246826,59.79
2013,8,North,1593467,"$273,962,637",2095985,76.02
2013,8,Northeast,6966714,"$1,097,241,234",8380881,83.13
2013,8,South,1013048,"$139,944,322",1884472,53.76
2013,8,Southeast,3446766,"$486,399,269",6486791,53.14
2013,9,Mid-West,751342,"$105,685,105",1246826,60.26
2013,9,North,1606159,"$275,403,947",2095985,76.63
2013,9,Northeast,7006833,"$1,100,830,593",8380881,83.6
2013,9,South,1014583,"$139,752,414",1884472,53.84
2013,9,Southeast,3462748,"$487,080,843",6486791,53.38
2013,10,Mid-West,750688,"$105,745,471",1246826,60.21
2013,10,North,1606922,"$276,156,967",2095985,76.67
2013,10,Northeast,7008229,"$1,103,144,513",8380881,83.62
2013,10,South,1010526,"$139,473,204",1884472,53.62
2013,10,Southeast,3454147,"$486,918,179",6486791,53.25
2013,11,Mid-West,743710,"$104,728,124",1246826,59.65
2013,11,North,1604662,"$276,268,469",2095985,76.56
2013,11,Northeast,6958475,"$1,096,575,997",8380881,83.03
2013,11,South,1008448,"$138,857,774",1884472,53.51
2013,11,Southeast,3514800,"$493,194,163",6486791,54.18
2013,12,Mid-West,768637,"$107,382,818",1246826,61.65
2013,12,North,1655676,"$283,283,791",2095985,78.99
2013,12,Northeast,7033597,"$1,105,505,139",8380881,83.92
2013,12,South,1030254,"$141,054,338",1884472,54.67
2013,12,Southeast,3598035,"$502,099,605",6486791,55.47
2014,1,Mid-West,763827,"$105,159,204",1246826,61.26
2014,1,North,1655815,"$280,470,530",2095985,79
2014,1,Northeast,7011949,"$1,091,453,070",8380881,83.67
2014,1,South,1023154,"$137,943,280",1884472,54.29
2014,1,Southeast,3590825,"$495,592,714",6486791,55.36
2014,2,Mid-West,768195,"$106,292,866",1246826,61.61
2014,2,North,1657890,"$281,469,348",2095985,79.1
2014,2,Northeast,7021313,"$1,095,160,778",8380881,83.78
2014,2,South,1026935,"$138,719,748",1884472,54.49
2014,2,Southeast,3610008,"$499,448,292",6486791,55.65
2014,3,Mid-West,764774,"$105,391,736",1246826,61.34
2014,3,North,1667969,"$282,688,750",2095985,79.58
2014,3,Northeast,7028190,"$1,091,428,392",8380881,83.86
